no,game,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02
1,Hogwarts Legacy,1,3,4,8,10,15,14,17,13,10,8,8
2,ELDEN RING,2,2,1,2,2,2,4,3,4,6,3,3
3,Stardew Valley,3,4,2,4,3,4,6,4,5,7,6,6
4,Vampire Sruvivors,4,1,3,6,7,5,9,6,7,5,10,10
5,OCTOPATH TRAVELER II,5,,,,,,,,,,,
6,Red Dead Redemption 2,6,6,6,5,6,7,10,9,8,9,11,11
7,Grand Theft Auto V,7,7,5,3,5,6,11,7,9,4,9,9
8,Dead Cells,8,20,20,,,,,,,,,
9,Cyberpunk 2077,9,8,10,7,9,10,3,2,2,2,5,5
10,Brotato,10,13,17,10,4,8,15,14,18,,,
11,Hades,11,10,7,16,15,17,19,19,15,12,15,15
12,The Witcher 3: Wild Hunt,12,14,12,13,14,12,20,16,20,18,,
13,The Elder Scrolls V: Skyrim Special Edition,13,15,8,9,12,11,18,10,14,15,12,12
14,The Binding of Isaac: Rebirth,14,12,9,14,13,13,13,8,11,13,13,13
15,MONSTER HUNTER RISE,15,16,14,18,,,,,,,,
16,Fallout 4,16,17,16,11,11,9,17,18,19,20,19,19
17,Persona 5 Royal,17,19,15,19,16,,,,,,17,17
18,Slay the Spire,18,18,18,20,17,16,16,15,16,17,20,20
19,No Man's Sky,19,11,19,15,,,8,12,,,,
20,Resident Evil 4,20,4,,,,,,,,,,
21,DREDGE,,9,,,,,,,,,,
23,NBA 2K23,,,11,12,18,,,,,,,
24,Cult of the Lamb,,,13,,,,,,,,16,16
25,Street Fighter™ 6,,,,1,19,,,,,,,
26,Marvel's Spider-Man Remastered,,,,17,20,,,,,,,
27,DAVE THE DRIVER,,,,,1,3,12,13,6,3,7,7
28,Halls of Torment,,,,,8,20,,,,,,
29,Baldur's Gate 3,,,,,,1,1,1,1,1,1,1
30,ARMORED CORE™ VI FIRES OF RUBICON™,,,,,,14,5,,,,,
31,HoloCure - Save the Fans!,,,,,,18,,,,,,
32,Remnant II,,,,,,19,,,,,,
33,Starfield,,,,,,,2,5,,,,
34,Sea of Stars,,,,,,,7,,,,,
35,Diablo® IV,,,,,,,,11,3,8,14,14
36,Monster Hunter: World,,,,,,,,20,17,11,4,4
37,Coral Island,,,,,,,,,10,16,,
38,Risk of Rain Returns,,,,,,,,,12,,,
39,Lethal Company,,,,,,,,,,19,,
40,Disney Dreamlight Valley,,,,,,,,,,20,,
41,Palworld,,,,,,,,,,,2,2
42,Waframe,,,,,,,,,,,18,18
